symbol,assetid_norgate,securityname_norgate,exchange_name,exchange_name_full,base_type,subtype1,subtype2,subtype3,financial_summary,business_summary,first_quoted_date
AIVL,208317,WisdomTree US AI Enhanced Value ETF,NYSE Arca,NYSE Arca,Stock Market,Exchange Traded Product,Exchange Traded Fund (ETF),,,"WisdomTree Dividend ex-Financials Fund (the Fund) seeks investment results that closely correspond to the price and yield performance of the WisdomTree Dividend ex-Financials Index (the Index). The Index measures the performance of high dividend-yielding stocks outside the financial sector. The Index consists primarily of large and mid-capitalization companies listed on the United States stock exchanges that pass WisdomTree Investments market capitalization, liquidity and selection requirements. The Fund's investment advisor is WisdomTree Asset Management, Inc., a wholly owned subsidiary of WisdomTree Investments, Inc. Its sub-advisor is Mellon Capital Management Corporation.",16/6/06
AMLP,514301,Alerian MLP ETF,NYSE Arca,NYSE Arca,Stock Market,Exchange Traded Product,Exchange Traded Fund (ETF),,,"ALERIAN MLP ETF seeks investment results that correspond (before fees and expenses) to the price and yield performance of its underlying index, the Alerian MLP Infrastructure Index (the Index). The Index is a rules based, modified capitalization weighted, float adjusted index intended to give investors a means of tracking the overall performance of the United States energy infrastructure Master Limited Partnership (MLP) asset class. The Index is comprised of 25 energy infrastructure MLPs. The fund will invest at least 90% of its total assets in securities, which comprise the Index (or depositary receipts based on such securities). ALPS Advisors, Inc. is the investment adviser to the fund.",25/8/10
AOA,434779,iShares Core Aggressive Allocation ETF,NYSE Arca,NYSE Arca,Stock Market,Exchange Traded Product,Exchange Traded Fund (ETF),,,"iShares Aggressive Allocation ETF (the Fund), formerly iShares S&P Aggressive Allocation Fund, is an exchange-traded fund (ETF). The Fund seeks investment results that correspond generally to the price and yield performance of the S&P Target Risk Aggressive Index (the Aggressive Allocation Index). The Aggressive Allocation Index seeks to measure the performance of an asset allocation strategy targeted to an aggressive risk profile. The Fund is designed for investors seeking long-term capital appreciation. The Fund's investment advisor is BlackRock Fund Advisors.",11/11/08
AOK,427482,iShares Core Conservative Allocation ETF,NYSE Arca,NYSE Arca,Stock Market,Exchange Traded Product,Exchange Traded Fund (ETF),,,"iShares Conservative Allocation ETF, formerly iShares S&P Conservative Allocation Fund (the Fund), is an exchange-traded fund. The Fund seeks investment results that correspond generally to the price and yield performance of the S&P Target Risk Conservative Index (the Conservative Allocation Index). The Conservative Allocation Index seeks to measure the performance of an asset allocation strategy targeted to a conservative risk profile. The Fund is designed for investors seeking current income and capital preservation. The Fund's investment advisor is BlackRock Fund Advisors. ",10/11/08
AOM,424787,iShares Core Moderate Allocation ETF,NYSE Arca,NYSE Arca,Stock Market,Exchange Traded Product,Exchange Traded Fund (ETF),,,"iShares Moderate Allocation ETF, formerly iShares S&P Moderate Allocation Fund (the Fund), is an exchange-traded fund. The Fund seeks investment results that correspond generally to the price and yield performance of the S&P Target Risk Moderate Index (the Moderate Allocation Index). The Moderate Allocation Index seeks to measure the performance of an asset allocation strategy targeted to a moderate risk profile. The Fund is designed for investors seeking current income, some capital preservation and an opportunity for moderate to low capital appreciation. The Fund's investment advisor is BlackRock Fund Advisors. ",11/11/08
AOR,427483,iShares Core Growth Allocation ETF,NYSE Arca,NYSE Arca,Stock Market,Exchange Traded Product,Exchange Traded Fund (ETF),,,"iShares Growth Allocation ETF, formerly iShares S&P Growth Allocation Fund (the Fund), is an open-end management investment company. The Fund seeks investment results that correspond generally to the price and yield performance of the S&P Target Risk Growth Index (the Growth Allocation Index). The Growth Allocation Index seeks to measure the performance of an asset allocation strategy targeted to a growth-focused risk profile. The Fund is designed for investors seeking moderate capital appreciation and opportunity for current income and capital preservation. The Fund's investment advisor is BlackRock Fund Advisors.",11/11/08
ARGT,539782,Global X MSCI Argentina ETF,NYSE Arca,NYSE Arca,Stock Market,Exchange Traded Product,Exchange Traded Fund (ETF),,,,3/3/11
ASEA,537048,Global X FTSE Southeast Asia ETF,NYSE Arca,NYSE Arca,Stock Market,Exchange Traded Product,Exchange Traded Fund (ETF),,,,17/2/11
BAB,479343,Invesco Taxable Municipal Bond ETF,NYSE Arca,NYSE Arca,Stock Market,Exchange Traded Product,Exchange Traded Fund (ETF),,,"PowerShares Build America Bond Portfolio (the Fund) seeks investment results that correspond generally to the price and yield performance of an index called The BofA Merrill Lynch Build America Bond Index (the Index). The Fund will normally invests at least 80% of its total assets in the securities that comprise the Index. The Index is designed to track the performance of the United States dollar-denominated Build America Bonds publicly issued by the United States and territories, and their political subdivisions, in the United States market. The investment advisor of the Company is Invesco PowerShares Capital Management LLC. ",17/11/09
BIB,495095,ProShares Ultra Nasdaq Biotechnology ETF,Nasdaq,Nasdaq,Stock Market,Exchange Traded Product,Exchange Traded Fund (ETF),,,"ProShares Ultra Nasdaq Biotechnology (the Fund) seeks daily investment results, before fees and expenses, that correspond to twice (200%) the daily performance of the Index. The return of the Fund for a period longer than a single trading day will be the result of each day's returns compounded over the period, which will very likely differ from the inverse of the return of the Dow Jones United States Basic Materials Index (the Index) for that period. The Fund does not seek to achieve its stated investment objective over a period of time greater than one day. The Fund invests in derivatives that have similar daily performance characteristics as the inverse of the daily return of the Index. The Fund invests in financial instruments whose value is derived from the value of an underlying asset, interest rate or index. ProShare Advisors LLC is the investment advisor of the Fund. ",8/4/10
BIL,280324,SPDR Bloomberg 1-3 Month T-Bill ETF,NYSE Arca,NYSE Arca,Stock Market,Exchange Traded Product,Exchange Traded Fund (ETF),,,"SPDR Barclays 1-3 Month T-Bill ETF, formerly SPDR Barclays Capital 1-3 Month T-Bill ETF, seeks to provide investment results that correspond to the price and yield performance of the Barclays Capital 1-3 Month U.S. Treasury Bill Index. The Barclays Capital 1-3 Month U.S. Treasury Bill Index includes all publicly issued zero-coupon United States treasury bills that have a remaining maturity of less than three months and more than one month, are rated investment grade, and have $250 million or more of outstanding face value. The 1-3 Month U.S. Treasury Bill Index excludes special issues, such as flower bonds, targeted investor notes (TINs), state and local government series bonds, treasury inflation-protected securities (TIPS), and coupon issues that have been stripped from bonds included in the index. The investment manager of the Fund is SSgA Funds Management, Inc. ",30/5/07
BIS,495096,ProShares UltraShort Nasdaq Biotechnology ETF,Nasdaq,Nasdaq,Stock Market,Exchange Traded Product,Exchange Traded Fund (ETF),,,"ProShares Ultra Nasdaq Biotechnology (the Fund) seeks investment results for a single day only, not for longer periods. The Fund seeks daily investment results, before fees and expenses, that correspond to twice (200%) the daily performance of the Index. The return of the Fund for a period longer than a single trading day will be the result of each day's returns compounded over the period, which will very likely differ from twice (200%) the return of the Nasdaq Biotechnology Index (the Index) for that period. The Fund does not seek to achieve its stated investment objective over a period of time greater than one day. The Fund invests in equity securities and derivatives that have similar daily performance characteristics as twice (200%) the daily return of the Index. The Fund invests in financial instruments whose value is derived from the value of an underlying asset, interest rate or index. ProShare Advisors LLC is the investment advisor of the Fund. ",8/4/10
BIV,272000,Vanguard Intermediate-Term Bond Index ETF,NYSE Arca,NYSE Arca,Stock Market,Exchange Traded Product,Exchange Traded Fund (ETF),,,"Vanguard Intermediate-Term Bond ETF (the Fund) seeks to track the performance of a market-weighted bond index with an intermediate-term, dollar-weighted average maturity. The Fund employs a passive management or indexing strategy designed to track the performance of the Barclays Capital U.S. 5-10 Year Government/Credit Bond Index (the Index). The Index includes all medium and larger issues of the United States Government, investment-grade corporate, and investment-grade international dollar-denominated bonds that have maturities between 5 and 10 years and are publicly issued. The Fund invests by sampling the Index, meaning that it holds a range of securities that, in the aggregate, approximate the full Index in terms of key risk factors and other characteristics. All of the Fund's investments will be selected through the sampling process, and at least 80% of its assets will be invested in bonds held in the Index. The Fund's investment advisor is The Vanguard Group, Inc. ",10/4/07
BJK,368147,VanEck Gaming ETF,Nasdaq,Nasdaq,Stock Market,Exchange Traded Product,Exchange Traded Fund (ETF),,,"Market Vectors Gaming ETF (the Fund) seeks to replicate as closely as possible the price and yield performance of the S-Network Global Gaming Index (the Index). The Index is a rules-based, modified-capitalization-weighted, float-adjusted index consisting of publicly traded companies engaged in the global gaming industry. Companies eligible for inclusion in Index should be principally engaged in the global gaming industry, deriving greater than 50% of revenues from it, with market capitalization exceeding $200 million, and should have three-month average daily turnover greater than $1 million. The index provider is S-Network Global Indexes. The Fund is passively managed and may not hold each Index component in the same weighting as the Index. The Fund's investment advisor is Van Eck Associates Corporation. ",24/1/08
BKF,354095,iShares MSCI BIC ETF,NYSE Arca,NYSE Arca,Stock Market,Exchange Traded Product,Exchange Traded Fund (ETF),,,"iShares MSCI BRIC ETF (the Fund), formerly iShares MSCI BRIC Index Fund, is an exchange-traded fund (ETF). The Fund is an exchange-traded fund that seeks to provide investment results that correspond generally to the price and yield performance, before fees and expenses, of the MSCI BRIC Index (the Index). The Index is a free float-adjusted market capitalization index that is designed to measure the combined equity market performance in Brazil, Russia, India and China (BRIC). The Fund invests in a representative sample of securities included in the Index that collectively has an investment profile similar to the Index. The Fund invests in various sectors, such as financials, energy, materials, information technology, telecommunication services, consumer staples, industrials, consumer discretionary, utilities and health care. The Investment Advisor of the Fund is BlackRock Fund Advisors. ",16/11/07
BKLN,542064,Invesco Senior Loan ETF,NYSE Arca,NYSE Arca,Stock Market,Exchange Traded Product,Exchange Traded Fund (ETF),,,,3/3/11
BLV,272002,Vanguard Long-Term Bond Index ETF,NYSE Arca,NYSE Arca,Stock Market,Exchange Traded Product,Exchange Traded Fund (ETF),,,"Vanguard Bond Index Funds (the Fund), formerly Vanguard Long-Term Bond ETF, seeks to track the performance of a market-weighted bond index with a long-term, dollar-weighted average maturity. It employs a passive management or indexing strategy designed to track the performance of the Barclays Capital U.S.Long Government/Credit Bond Index (the Index). The Index includes all medium and larger issues of the United States Government, investment-grade corporate, and investment-grade international dollar-denominated bonds that have maturities of greater than 10 years and are publicly issued. The Fund invests by sampling the Index, meaning that it holds a range of securities that, in the aggregate, approximates the full Index in terms of key risk factors and other characteristics. All of the Fund's investments will be selected through the sampling process, and at least 80% of its assets will be invested in bonds held in the Index. The Fund's investment advisor is The Vanguard Group, Inc.",10/4/07
BMVP,127646,Invesco Bloomberg MVP Multi-Factor ETF,NYSE Arca,NYSE Arca,Stock Market,Exchange Traded Product,Exchange Traded Fund (ETF),,,PowerShares Dynamic Market Portfolio (Fund) seeks investment results that correspond generally to the price and yield of the Dynamic Market Intellidex Index (the Index). The Fund will normally invest at least 90% of its total assets in common stocks that comprise the Index. The Underlying Intellidex selection methodology seeks to identify and select companies from the U.S. marketplace with superior risk-return profiles. The Fund's investment advisor is Invesco PowerShares Capital Management LLC.,1/5/03
BND,272003,Vanguard Total Bond Market Index ETF,Nasdaq,Nasdaq,Stock Market,Exchange Traded Product,Exchange Traded Fund (ETF),,,"Vanguard Total Bond Market ETF (the Fund) seeks to track the performance of a market-weighted bond index. The Fund employs a passive management or indexing investment approach designed to track the performance of the Barclays Capital U.S. Aggregate Bond Index (the Index). The Index measures a spectrum of public, investment-grade, taxable, fixed-income securities in the United States, including government, corporate and international dollar-denominated bonds, as well as mortgage-backed and asset-backed securities, all with maturities of more than one year. The Fund invests by sampling the Index, meaning that it holds a range of securities that, in the aggregate, approximate the full index in terms of key risk factors and other characteristics. All of the Fund's investments will be selected through the sampling process, and at least 80% of its assets will be invested in bonds held in the Index. The Fund's investment advisor is The Vanguard Group, Inc.",10/4/07
BNO,502830,United States Brent Oil LP ETF,NYSE Arca,NYSE Arca,Stock Market,Exchange Traded Product,Exchange Traded Fund (ETF),,,,2/6/10
BOIL,580980,ProShares Ultra Bloomberg Natural Gas ETF,NYSE Arca,NYSE Arca,Stock Market,Exchange Traded Product,Exchange Traded Fund (ETF),,,,6/10/11
BRF,453312,VanEck Brazil Small-Cap ETF,NYSE Arca,NYSE Arca,Stock Market,Exchange Traded Product,Exchange Traded Fund (ETF),,,"Market Vectors Brazil Small-Cap ETF (the Fund) seeks to replicate as closely as possible the price and yield performance of the Market Vectors Brazil Small-Cap Index (the Index). The Index is a rules-based, modified market capitalization-weighted, float-adjusted index consisting of publicly traded small-capitalization companies that are domiciled and primarily listed on an exchange in Brazil, or that generate at least 50% of their revenues in Brazil. The Index is the exclusive property of 4asset-management GmbH, which has contracted with Standard & Poor's, a division of The McGraw-Hill Companies, Inc. to maintain and calculate the Index. The Fund is passively managed and may not hold each Index component in the same weighting as the Index. The Fund's investment advisor is Van Eck Associates Corporation. ",14/5/09
BSV,272004,Vanguard Short-Term Bond Index ETF,NYSE Arca,NYSE Arca,Stock Market,Exchange Traded Product,Exchange Traded Fund (ETF),,,"Vanguard Short-Term Bond ETF (the Fund) seeks to track the performance of a market-weighted bond index with a short-term, dollar-weighted average maturity. The Fund employs a passive management or indexing strategy designed to track the performance of the Barclays Capital U.S. 1-5 Year Government/Credit Bond Index (the Index). The Index includes all medium and larger issues of the United States Government, investment-grade corporate, and investment-grade international dollar-denominated bonds that have maturities of between 1 and 5 years and are publicly issued. The Fund invests by sampling the Index, meaning that it holds a range of securities that, in the aggregate, approximates the full Index in terms of key risk factors and other characteristics. All of the Fund's investments will be selected through the sampling process, and at least 80% of its assets will be invested in bonds held in the Index. The Fund's investment advisor is The Vanguard Group, Inc.",10/4/07
BWX,304575,SPDR Bloomberg International Treasury Bond ETF,NYSE Arca,NYSE Arca,Stock Market,Exchange Traded Product,Exchange Traded Fund (ETF),,,"Spdr Lehman Series Trust, formerly SPDR Barclays International Treasury Bond ETF, is engaged in providing investment results, which correspond to the price and yield performance of the Barclays Capital Global Treasury ex-US Capped Index. The Barclays Capital Global Treasury Ex-US Capped Index includes government bonds issued by investment-grade countries outside the United States, in local currencies, that have a remaining maturity of one year or more and are rated investment grade. Each of the component securities in the Global Treasury Ex-US Capped Index is a constituent of the Barclays Global Treasury ex-US Index, screened, such that the countries are included Australia, Austria, Belgium, Canada, Denmark, France, Germany, Greece, Italy, Japan, Mexico, Netherlands, Poland, South Africa, Spain, Sweden, Taiwan, United Kingdom. SSgA Funds Management, Inc. acts as an investment manager.",5/10/07
BWZ,438591,SPDR Bloomberg Short Term International Treasury Bond ETF,NYSE Arca,NYSE Arca,Stock Market,Exchange Traded Product,Exchange Traded Fund (ETF),,,,27/1/09
BZQ,458846,ProShares UltraShort MSCI Brazil Capped ETF,NYSE Arca,NYSE Arca,Stock Market,Exchange Traded Product,Exchange Traded Fund (ETF),,,,19/6/09
CARZ,550210,First Trust S-Network Future Vehicles & Tech ETF,Nasdaq,Nasdaq,Stock Market,Exchange Traded Product,Exchange Traded Fund (ETF),,,,10/5/11
CEW,455373,WisdomTree Emerging Currency Strategy ETF,NYSE Arca,NYSE Arca,Stock Market,Exchange Traded Product,Exchange Traded Fund (ETF),,,"WisdomTree Emerging Currency Fund, formerly WisdomTree Dreyfus Emerging Currency Fund, seeks to achieve total returns reflective of both money market rates in selected emerging market countries available to foreign investors and changes to the value of these currencies relative to the United States dollar. The Fund seeks to achieve its investment objective by investing in short-term securities and instruments designed to provide exposure to the currencies and money market rates of selected emerging market countries. The Fund seeks to provide exposure to currencies and money market rates from emerging and developing economies in three regions of the world: Asia, Latin America and Europe, the Middle East and Africa. WisdomTree Asset Management, Inc. serves as the Fund's investment adviser. WisdomTree Investments, Inc. is the parent company of WisdomTree Asset Management. ",6/5/09
CGW,277346,Invesco S&P Global Water ETF,NYSE Arca,NYSE Arca,Stock Market,Exchange Traded Product,Exchange Traded Fund (ETF),,,"Guggenheim S&P Global Water Index ETF (the Fund), formerly Claymore S&P Global Water Index ETF seeks investment results that correspond generally to the performance of an equity index called the S&P Global Water NR Index. The S&P Global Water NR Index consists of approximately 50 equity securities selected based on investment and other criteria, from a universe of companies listed on global developed market exchanges. The Index is designed to have a balanced representation from different segments of the water industry consisting of two clusters: 25 water utilities and infrastructure companies and 25 water equipment and materials companies based upon Standard & Poor's Capital IQ industry classification. The Fund will invest at least 90% of its total assets in common stock and American depositary receipts that comprise the Index depositary receipts representing common stocks included in the Index. The Fund's investment advisor is Guggenheim Funds Investment Advisors, LLC.",14/5/07
CHIQ,479350,Global X MSCI China Consumer Discretionary ETF,NYSE Arca,NYSE Arca,Stock Market,Exchange Traded Product,Exchange Traded Fund (ETF),,,"Global X China Consumer ETF (the Fund) seeks to provide investment results that correspond generally to the price and yield performance, before fees and expenses, of the Solactive China Consumer Index (the Underlying Index). The Underlying Index is a free float adjusted, liquidity tested and market capitalization-weighted index that is designed to measure performance of the investable universe of companies in the Consumer sector of the Chinese economy, as defined by Structured Solutions AG. Global X Management Company, LLC serves as the investment adviser to the Fund.",1/12/09
CMF,304576,iShares California Muni Bond ETF,NYSE Arca,NYSE Arca,Stock Market,Exchange Traded Product,Exchange Traded Fund (ETF),,,"iShares California AMT-Free Muni Bond ETF (the Fund), formerly iShares S&P California AMT-Free Municipal Bond Fund, is an exchange-traded fund (ETF). The Fund seeks to track the investment results of the S&P California AMT-Free Municipal Bond Index (the Index), which measures the performance of the investment-grade segment of the California municipal bond market and the components primarily include transportation and utilities companies. The Index is a subset of the S&P National AMT-Free Municipal Bond Index and is consists of municipal bonds issued in the State of California. The Index includes municipal bonds from issuers in the State of California that are California state or local governments or agencies whose interest payments are exempt from the United States federal and California state income taxes and the federal alternative minimum tax (AMT). BlackRock Fund Advisors is the Fund's investment adviser.",5/10/07
COPX,496563,Global X Copper Miners ETF,NYSE Arca,NYSE Arca,Stock Market,Exchange Traded Product,Exchange Traded Fund (ETF),,,"Global X Copper Miners ETF (the Fund) seeks to provide investment results that correspond generally to the price and yield performance of the Solactive Global Copper Miners Index. The Solactive Global Copper Miners Index is designed to reflect the performance of the copper mining industry. It is comprised of common stocks, American Depository Receipts (ADRs) and Global Depository Receipts (GDRs) of selected companies globally, which are engaged in some aspect of the copper mining industry such as copper mining, refining or exploration. The advisor of the Fund is Global X Management Company, LLC. The Fund is distributed by SEI Investments Distribution Co. ",20/4/10
CORN,508442,Teucrium Corn ETF,NYSE Arca,NYSE Arca,Stock Market,Exchange Traded Product,Exchange Traded Fund (ETF),,,"Teucrium Corn Fund (the Fund) is a commodity pool that is a series of Teucrium Commodity Trust (Trust), a Delaware statutory trust. It will issue common units representing fractional undivided beneficial interests in such Fund, called Shares. The investment objective of the Fund is to have the daily changes in percentage terms of the shares net asset value reflect the daily changes in percentage terms of a weighted average of the closing settlement prices for three futures contracts for corn (Corn Futures Contracts) that are traded on the Chicago Board of Trade (CBOT), including the second to expire CBOT Corn Futures Contract, weighted 35%, the third-to-expire CBOT Corn Futures Contract, weighted 30%, and the CBOT Corn Futures Contract, weighted 35%. This weighted average of the three Corn Futures Contracts is referred to as the Benchmark, and the three Corn Futures Contracts that at any given time make up the Benchmark are referred to as the Benchmark Component Futures Contracts.",9/6/10
CORP,518365,PIMCO Investment Grade Corporate Bond ETF,NYSE Arca,NYSE Arca,Stock Market,Exchange Traded Product,Exchange Traded Fund (ETF),,,,21/9/10
CQQQ,483906,Invesco China Technology ETF,NYSE Arca,NYSE Arca,Stock Market,Exchange Traded Product,Exchange Traded Fund (ETF),,,"Guggenheim China Technology ETF (the Fund), formerly Claymore China Technology ETF, seeks investment results that correspond generally to the performance, before the Fund's fees and expenses, of an equity index called the AlphaShares China Technology Index (the Index). The Fund will invest at least 80% of its total assets in common stock, American depositary receipts (ADRs), American depositary shares (ADSs), global depositary receipts (GDRs) and international depositary receipts (IDRs) that comprise the Index and depositary receipts or shares representing common stocks included in the Index (or underlying securities representing ADRs, ADSs, GDRs and IDRs included in the Index). The depositary receipts included in the Index may be sponsored or unsponsored. The Fund's investment advisor is Guggenheim Funds Investment Advisors, LLC.",8/12/09
CSD,236589,Invesco S&P Spin-Off ETF,NYSE Arca,NYSE Arca,Stock Market,Exchange Traded Product,Exchange Traded Fund (ETF),,,"Guggenheim Spin-Off ETF, formerly Claymore/Beacon Spin-Off ETF, seeks investment results that correspond generally to the performance, before the Fund's fees and expenses, of an equity index called the Beacon Spin-off Index (the Index). The Fund will invest at least 90% of its total assets in common stock, American depositary receipts (ADRs) and master limited partnerships (MLPs) that comprise the Index and depositary receipts representing common stocks included in the Index (or underlying securities representing ADRs included in the Index). The Index is consisted of of approximately 40 securities selected, based on investment and other criteria, from a broad universe of United States-traded stocks, ADRs and MLPs. The investment advisor of the Fund is Guggenheim Funds Investment Advisors, LLC. ",15/12/06
CSM,465584,ProShares Large Cap Core Plus ETF,Cboe BZX,Cboe BZX,Stock Market,Exchange Traded Product,Exchange Traded Fund (ETF),,,,14/7/09
CURE,556402,Direxion Daily Healthcare Bull 3X Shares ETF,NYSE Arca,NYSE Arca,Stock Market,Exchange Traded Product,Exchange Traded Fund (ETF),,,,15/6/11
CUT,351471,Invesco MSCI Global Timber ETF,NYSE Arca,NYSE Arca,Stock Market,Exchange Traded Product,Exchange Traded Fund (ETF),,,"Guggenheim Timber ETF (the Fund), formerly Claymore/Beacon Global Timber Index ETF, seeks investment results that correspond to the performance of an equity index called the Beacon Global Timber Index (the Index). All stocks in the Index are selected from the universe of global timber companies. Beacon Indexes LLC (Beacon or the Index Provider) defines global timber companies as firms who own or lease forested land and harvest the timber from such forested land for commercial use and sale of wood-based products, including lumber, pulp or other processed or finished goods, such as paper and packaging. Index constituents include securities with market capitalizations greater than $300 million, which includes securities of all market capitalizations, as determined by Beacon. It will invest at least 90% of its total assets in common stock, American depositary receipts and global depositary receipts that comprise the Index. Its investment advisor is Claymore Advisors, LLC.",9/11/07
